SKU,Product Name,Color,MSRP,Wholesale,Qty,Notes
NK-AF1-001,Air Force 1 '07,White/White,$110.00,$55.00,120,Core style - always in stock
NK-AF1-002,Air Force 1 '07,Black/Black,$110.00,$55.00,85,Core style
NK-DK-LOW-001,Dunk Low Retro,White/Black - Panda,$110.00,$55.00,200,High demand - limited allocation
NK-DK-LOW-002,Dunk Low Retro,Grey Fog,$110.00,$55.00,45,
NK-AM90-001,Air Max 90,White/University Red,$130.00,$65.00,60,
NK-AM90-002,Air Max 90,Black/White,$130.00,$65.00,75,
NK-AM1-001,Air Max 1 '86 OG,Big Bubble - University Red,$150.00,$75.00,30,Premium tier
NK-BLZR-001,Blazer Mid '77 Vintage,White/Black,$105.00,$52.50,90,
NK-JDN1-001,Air Jordan 1 Low,White/Gym Red,$110.00,$55.00,50,Jordan brand
NK-JDN1-002,Air Jordan 1 Low,Black/Shadow,$110.00,$55.00,40,Jordan brand
NK-CRTEZ-001,Cortez,White/Varsity Red,$90.00,$45.00,110,Retro classic
NK-PGSUS-001,Pegasus 41,Black/White,$140.00,$70.00,65,Running - tech category
